lat,Clusters,lon
39.7224,Cluster 5,-121.8113
39.6054,Cluster 5,-121.5751
39.1237,Cluster 5,-121.6611
38.9115,Cluster 5,-121.08
38.8942,Cluster 5,-121.2908
38.7609,Cluster 5,-121.2867
38.7346,Cluster 5,-121.234
38.7195,Cluster 5,-120.8046
38.6865,Cluster 5,-121.3494
38.6808,Cluster 5,-121.7411
38.6709,Cluster 5,-121.1529
38.6383,Cluster 5,-121.5072
38.6284,Cluster 5,-121.3287
38.5981,Cluster 5,-121.2153
38.5927,Cluster 5,-121.5325
38.5892,Cluster 5,-121.4057
38.5539,Cluster 5,-121.3693
38.4797,Cluster 5,-121.4438
38.4695,Cluster 5,-121.4883
38.4243,Cluster 5,-121.437
38.3482,Cluster 5,-121.9538
38.1222,Cluster 5,-121.2555
38.0315,Cluster 5,-121.2589
38.01,Cluster 5,-121.3698
38.0031,Cluster 5,-121.9172
36.9403,Cluster 4,-120.082
36.8579,Cluster 4,-119.7655
36.8303,Cluster 4,-119.8319
36.8149,Cluster 4,-119.7106
36.7528,Cluster 4,-119.7061
36.5695,Cluster 4,-119.617
36.3314,Cluster 4,-119.6491
36.3114,Cluster 4,-119.3065
36.2022,Cluster 4,-119.338
36.0686,Cluster 4,-119.0315
35.7715,Cluster 4,-119.2459
35.4754,Cluster 4,-120.6638
35.3935,Cluster 4,-119.1205
35.3867,Cluster 4,-118.9391
35.3384,Cluster 4,-119.0627
35.2974,Cluster 4,-119.0509
35.2901,Cluster 4,-120.6817
35.1322,Cluster 4,-118.449
34.8286,Cluster 4,-120.4268
34.6583,Cluster 4,-120.4506
34.4296,Cluster 4,-119.8612
34.2351,Cluster 4,-119.182
34.2313,Cluster 4,-119.0464
37.9864,Cluster 3,-122.135
37.9823,Cluster 3,-122.0362
37.9691,Cluster 3,-122.5105
37.9324,Cluster 3,-121.6894
37.9156,Cluster 3,-122.2985
37.8365,Cluster 3,-122.2804
37.8134,Cluster 3,-121.2132
37.7806,Cluster 3,-122.2166
37.7562,Cluster 3,-121.9522
37.7526,Cluster 3,-121.77
37.7319,Cluster 3,-121.4096
37.7298,Cluster 3,-120.942
37.7205,Cluster 3,-122.1587
37.6875,Cluster 3,-122.4388
37.6873,Cluster 3,-121.8957
37.6787,Cluster 3,-122.478
37.674,Cluster 3,-122.0894
37.6236,Cluster 3,-120.9966
37.5895,Cluster 3,-122.0497
37.5538,Cluster 3,-122.27
37.5368,Cluster 3,-122.032
37.5308,Cluster 3,-121.9712
37.4969,Cluster 3,-122.2674
37.4888,Cluster 3,-120.8535
37.4673,Cluster 3,-122.1388
37.4352,Cluster 3,-121.895
37.3764,Cluster 3,-122.0238
37.3692,Cluster 3,-121.8208
37.3492,Cluster 3,-121.953
37.3066,Cluster 3,-122.0002
37.296,Cluster 3,-121.8939
37.2803,Cluster 3,-121.9539
37.2685,Cluster 3,-121.849
37.2563,Cluster 3,-121.9229
37.2458,Cluster 3,-121.8306
37.2308,Cluster 3,-120.5144
37.1353,Cluster 3,-121.6501
37.0627,Cluster 3,-120.8544
37.0139,Cluster 3,-121.5773
37.0048,Cluster 3,-121.9507
36.9102,Cluster 3,-121.7569
36.7563,Cluster 3,-121.6703
36.6217,Cluster 3,-121.7935
41.7817,Cluster 2,-124.1332
40.6278,Cluster 2,-122.353
40.1795,Cluster 2,-122.2383
39.1552,Cluster 2,-123.1951
38.5443,Cluster 2,-122.8073
38.4822,Cluster 2,-122.7473
38.347,Cluster 2,-122.6941
38.2904,Cluster 2,-122.2841
38.2671,Cluster 2,-122.0357
38.0985,Cluster 2,-122.2124
38.0066,Cluster 2,-122.2637
35.6225,Cluster 1,-117.6709
34.8914,Cluster 1,-117.0387
34.6909,Cluster 1,-118.1491
34.6017,Cluster 1,-118.231
34.5715,Cluster 1,-118.0231
34.5563,Cluster 1,-117.3528
34.5016,Cluster 1,-117.2944
34.4698,Cluster 1,-117.1927
34.4262,Cluster 1,-118.449
34.3985,Cluster 1,-118.5535
34.2875,Cluster 1,-118.4352
34.2656,Cluster 1,-118.7653
34.2262,Cluster 1,-118.447
34.2197,Cluster 1,-118.6111
34.2057,Cluster 1,-118.4001
34.2006,Cluster 1,-118.4868
34.1963,Cluster 1,-118.6389
34.1774,Cluster 1,-118.9358
34.1767,Cluster 1,-118.6159
34.1745,Cluster 1,-118.3059
34.1559,Cluster 1,-116.4313
34.1446,Cluster 1,-117.3013
34.144,Cluster 1,-118.0014
34.141,Cluster 1,-117.6581
34.1379,Cluster 1,-118.2599
34.1287,Cluster 1,-117.8552
