,store_name,state,city,zip,store_id,lat,lon
0,Inverness,AL,Hoover,35242,875,33.3813,-86.7046
1,Fairfield,AL,Fairfield,35064,882,33.4735,-86.9183
2,Montgomery,AL,Montgomery,36117,883,32.3736,-86.1833
3,E-Montgomery,AL,Montgomery,36117,813,32.3736,-86.1833
4,Pelham,AL,Pelham,35124,805,33.2932,-86.76799999999999
5,Foley,AL,Foley,36535,802,30.4007,-87.6857
6,Florence-AL,AL,Florence,35630,8577,34.8305,-87.656
7,Prattville,AL,Prattville,36066,806,32.4787,-86.43
8,W-Mobile,AL,Mobile,36695,801,30.6474,-88.2292
9,Phenix-City,AL,Phenix-City,36867,817,32.4978,-85.0234
10,Auburn-opelika,AL,Opelika,36801,816,32.6454,-85.3783
11,S-Huntsville,AL,Huntsville,35803,888,34.6205,-86.551
12,Alexander-City-AL,AL,Alexander-City,35010,6889,32.9164,-85.9368
13,Decatur-AL,AL,Decatur,35603,884,34.5484,-87.0004
14,Jasper-AL,AL,Jasper,35501,810,33.8312,-87.2775
15,Scottsboro,AL,Scottsboro,35768,812,34.7507,-86.1422
16,Eastwood,AL,Birmingham,35210,880,33.5452,-86.6655
17,Sylacauga,AL,Sylacauga,35150,809,33.1717,-86.2713
18,Dothan,AL,Dothan,36303,808,31.2668,-85.3971
19,Pell-City,AL,Pell-City,35125,818,33.5979,-86.3432
20,Oxford-AL,AL,Oxford,36203,866,33.5815,-85.8328
21,W-Huntsville,AL,Madison,35757,803,34.7782,-86.7442
22,Trussville,AL,Trussville,35173,887,33.6339,-86.5981
23,Daphne,AL,Daphne,36526,863,30.6197,-87.8895
24,Hoover,AL,Birmingham,35244,881,33.3538,-86.8254
25,Mobile,AL,Mobile,36609,865,30.6605,-88.1618
26,Tuscaloosa,AL,Tuscaloosa,35404,877,33.1826,-87.4827
27,N-Huntsville,AL,Huntsville,35801,804,34.7269,-86.5673
