,store_name,state,city,zip,store_id,lat,lon
0,Salinas,CA,Salinas,93907,1843,36.7563,-121.6703
1,Yuba-City,CA,Yuba-City,95993,1019,39.1237,-121.6611
2,Pleasanton,CA,Pleasanton,94588,629,37.6873,-121.8957
3,Tulare,CA,Tulare,93274,6946,36.2022,-119.338
4,San-Jose-ge,CA,San-Jose,95125,1861,37.296,-121.8939
5,North-Upland,CA,Upland,91784,1083,34.141,-117.6581
6,San-Mateo,CA,San-Mateo,94404,632,37.5538,-122.27
7,Monrovia,CA,Monrovia,91016,6629,34.144,-118.0014
8,Florin-Rd,CA,Sacramento,95823,651,38.4797,-121.4438
9,Santa-Rosa,CA,Santa-Rosa,95403,1379,38.4822,-122.7473
10,Oceanside,CA,Oceanside,92056,679,33.1968,-117.2831
11,Santa-Maria,CA,Santa-Maria,93455,6638,34.8286,-120.4268
12,Huntington-Park,CA,Huntington-Park,90255,1002,33.9769,-118.2161
13,East-Irvine,CA,Irvine,92620,8525,33.7009,-117.7564
14,Perris,CA,Perris,92570,6875,33.7852,-117.3166
15,Rancho-Cucamonga,CA,Rancho-Cucamonga,91730,645,34.107,-117.5941
16,Cypress,CA,Cypress,90630,6650,33.8181,-118.0357
17,Wilshire-Union,CA,Los-Angeles,90017,1048,34.0559,-118.2666
18,Eastlake,CA,Chula-Vista,91915,1030,32.6315,-116.9408
19,Laguna-Hills,CA,Laguna-Hills,92637,6628,33.6103,-117.7253
20,Lake-Forest,CA,Lake-Forest,92630,6668,33.6437,-117.6868
21,El-Toro,CA,Lake-Forest,92630,1840,33.6437,-117.6868
22,Hemet,CA,Hemet,92545,6637,33.7399,-117.0151
23,West-Covina,CA,West-Covina,91792,8463,34.0229,-117.8975
24,Palm-Springs,CA,Palm-Springs,92264,8526,33.8018,-116.517
25,Bollinger,CA,San-Jose,95129,6635,37.3066,-122.0002
26,San-Jose,CA,San-Jose,95123,622,37.2458,-121.8306
27,Temecula,CA,Temecula,92592,1028,33.4983,-117.0958
28,Ontario-CA,CA,Ontario,91762,6884,34.0584,-117.6665
29,Mission-Viejo,CA,Mission-Viejo,92692,614,33.6144,-117.6433
30,Arden-Arcade,CA,Sacramento,95825,6966,38.5892,-121.4057
31,Long-Beach,CA,Signal-Hill,90755,1062,33.8029,-118.1677
32,Signal-Hill,CA,Signal-Hill,90755,648,33.8029,-118.1677
33,San-Pedro,CA,San-Pedro,90731,1005,33.7339,-118.2914
34,Palmdale,CA,Palmdale,93551,638,34.6017,-118.231
35,Visalia,CA,Visalia,93277,6615,36.3114,-119.3065
36,Atascadero,CA,Atascadero,93422,1031,35.4754,-120.6638
37,Modesto,CA,Modesto,95351,6601,37.6236,-120.9966
38,Ceres,CA,Modesto,95351,6947,37.6236,-120.9966
39,Escondido,CA,Escondido,92029,6612,33.0895,-117.1128
40,Indio,CA,Indio,92203,6874,33.7532,-116.2676
41,Riverbank-CA,CA,Riverbank,95367,1842,37.7298,-120.942
42,Newark-CA,CA,Newark,94560,6964,37.5368,-122.032
43,La-Habra,CA,La-Habra,90631,6657,33.9331,-117.9493
44,East-Brea,CA,Brea,92821,1072,33.9291,-117.8845
45,Power-Inn,CA,Sacramento,95826,6620,38.5539,-121.3693
46,Lompoc,CA,Lompoc,93436,6681,34.6583,-120.4506
47,Soquel,CA,Soquel,95073,6968,37.0048,-121.9507
48,Imperial-Beach,CA,San-Diego,92154,671,32.5753,-117.0707
49,Otay-Mesa,CA,San-Diego,92154,1034,32.5753,-117.0707
50,Fullerton-relo-682,CA,Fullerton,92831,6893,33.8873,-117.8946
51,Colma-II,CA,Colma,94014,639,37.6875,-122.4388
52,The-Home-Depot-Pro,CA,Colma,94014,6655,37.6875,-122.4388
53,Lincoln,CA,Lincoln,95648,8571,38.8942,-121.2908
54,Selma-CA,CA,Selma,93662,8529,36.5695,-119.617
55,Nw-Bakersfield,CA,Bakersfield,93312,1064,35.3935,-119.1205
56,Van-Nuys,CA,Van-Nuys,91406,6661,34.2006,-118.4868
57,Poway,CA,Poway,92064,8949,32.9756,-117.0402
58,Sunset,CA,Hollywood,90028,6616,34.1005,-118.3254
59,Thousand-Oaks,CA,Thousand-Oaks,91320,6662,34.1774,-118.9358
60,Escondido-II,CA,Escondido,92027,1053,33.1388,-117.052
61,Tehachapi,CA,Tehachapi,93561,6835,35.1322,-118.449
62,San-Ramon,CA,San-Ramon,94583,6604,37.7562,-121.9522
63,Woodland-Hills,CA,Woodland-Hills,91367,6632,34.1767,-118.6159
