,store_name,state,city,zip,store_id,lat,lon
0,Tomball,TX,Houston,77070,6512,29.9781,-95.5803
1,White-Rock,TX,Dallas,75218,550,32.8463,-96.6972
2,Keller,TX,Keller,76248,6548,32.9276,-97.2489
3,Beaumont,TX,Beaumont,77703,501,30.1132,-94.1197
4,Mckinney,TX,Mckinney,75070,528,33.1976,-96.6153
5,Kingsbridge,TX,Sugar-Land,77498,6860,29.6396,-95.65
6,San-Angelo,TX,San-Angelo,76901,6807,31.4782,-100.4818
7,Grand-Parkway,TX,Katy,77494,6561,29.7404,-95.8304
8,Missouri-City,TX,Missouri-City,77459,6546,29.5704,-95.5423
9,N-Frisco,TX,Frisco,75033,6513,33.2559,-96.8853
10,Windsor-Park,TX,San-Antonio,78239,580,29.5182,-98.3627
11,Bridgepoint,TX,Corpus-Christi,78415,6584,27.7262,-97.4078
12,Precinct-Line,TX,North-Richland-Hills,76182,6533,32.8828,-97.2098
13,Huntsville-TX,TX,Huntsville,77320,6578,30.847,-95.597
14,Se-Military,TX,San-Antonio,78223,6988,29.3579,-98.4356
15,Fair-Ave,TX,San-Antonio,78223,503,29.3579,-98.4356
16,N-Fort-Worth,TX,Fort-Worth,76137,6814,32.8664,-97.2891
17,Central-Plano,TX,Plano,75023,6833,33.055,-96.7365
18,Willowbrook,TX,Houston,77065,6838,29.9319,-95.6106
19,Laredo,TX,Laredo,78041,6540,27.5569,-99.4907
20,N-Mcallen,TX,Mcallen,78504,516,26.2556,-98.2303
21,Lakeline,TX,Austin,78717,509,30.506,-97.7472
22,Georgetown,TX,Georgetown,78628,6538,30.6411,-97.7511
23,Midland,TX,Midland,79707,561,32.0199,-102.1476
24,Amarillo,TX,Amarillo,79124,6552,35.2703,-101.943
25,Richardson,TX,Garland,75044,556,32.9522,-96.6654
26,Lufkin,TX,Lufkin,75901,513,31.27,-94.6469
27,Denton,TX,Denton,76208,6840,33.2117,-97.0612
28,Nw-Dallas,TX,Dallas,75229,564,32.8958,-96.8588
29,Greenville-TX,TX,Greenville,75402,6554,33.1047,-96.0927
30,E-Amarillo,TX,Amarillo,79109,6831,35.1663,-101.8868
31,Military,TX,San-Antonio,78224,6529,29.3374,-98.5393
32,Silverlake,TX,Pearland,77584,6567,29.5405,-95.3208
33,East-El-Paso,TX,El-Paso,79938,8523,31.8045,-105.9661
34,Kuykendahl,TX,Spring,77389,2389,30.1044,-95.5066
35,Alamo-Heights,TX,San-Antonio,78209,6544,29.4821,-98.4554
36,N-Brownsville,TX,Brownsville,78520,6984,25.9337,-97.5174
37,El-Paso,TX,El-Paso,79936,522,31.7677,-106.3016
38,Oak-Cliff,TX,Dallas,75211,6816,32.7319,-96.9057
39,Paris-TX,TX,Paris,75460,6566,33.6581,-95.5379
40,W-Plano,TX,Plano,75093,551,33.0299,-96.7889
41,Grand-Prairie,TX,Grand-Prairie,75052,507,32.6605,-97.0311
42,Grand-Prairie-South,TX,Grand-Prairie,75052,8517,32.6605,-97.0311
43,Gulf-Freeway,TX,Houston,77089,6501,29.594,-95.2218
44,Lake-Worth-TX,TX,Lake-Worth,76135,6549,32.8248,-97.4519
45,Cleburne,TX,Cleburne,76033,6520,32.3509,-97.4103
46,Mt-Pleasant-TX,TX,Mount-Pleasant,75455,8540,33.1733,-94.9695
47,Austin-Mueller-Airport,TX,Austin,78723,6892,30.3085,-97.6849
48,Boerne,TX,Boerne,78006,6556,29.8931,-98.6857
49,Pflugerville,TX,Pflugerville,78660,6808,30.4421,-97.6299
50,Kerrville,TX,Kerrville,78028,6576,30.0416,-99.1408
51,Copperfield,TX,Houston,77084,6506,29.844,-95.6623
52,Eldorado-Webster-r0567,TX,Webster,77598,1859,29.5564,-95.144
53,Gainesville-TX,TX,Gainesville,76240,519,33.6547,-97.1583
54,Lancaster-TX,TX,Lancaster,75146,8976,32.5914,-96.7728
55,Waxahachie,TX,Waxahachie,75165,6505,32.3808,-96.8374
56,Balch-Springs,TX,Balch-Springs,75180,555,32.7287,-96.6228
57,Bellmead-Waco,TX,Waco,76705,6830,31.6403,-97.0963
58,Spring-Cypress,TX,Cypress,77429,6586,29.9766,-95.6358
59,Wichita-Falls,TX,Wichita-Falls,76308,6588,33.8633,-98.534
60,Corpus-Christi,TX,Corpus-Christi,78411,526,27.7311,-97.3877
61,Skillman,TX,Dallas,75231,6804,32.8756,-96.7495
62,N-Plano,TX,Plano,75024,527,33.0752,-96.7843
63,West-Woodlands,TX,Magnolia,77354,6819,30.2333,-95.5502
64,Westbury-Square,TX,Houston,77035,578,29.6518,-95.4854
65,Hutto,TX,Hutto,78634,8439,30.5257,-97.5672
66,Wylie,TX,Wylie,75098,6589,33.0041,-96.5394
67,N-Austin,TX,Austin,78759,6839,30.4036,-97.7526
68,Alvin,TX,Alvin,77511,6539,29.412,-95.2515
69,Garland,TX,Garland,75040,553,32.9227,-96.6248
70,New-Braunfels,TX,New-Braunfels,78130,8520,29.7229,-98.0742
71,Lemmon-Ave,TX,Dallas,75209,589,32.8456,-96.826
72,Waco,TX,Waco,76710,6532,31.535,-97.1899
73,Allen,TX,Allen,75013,6502,33.1186,-96.6773
74,Harlingen,TX,Harlingen,78552,6528,26.1831,-97.7468
75,Tyler,TX,Tyler,75701,6514,32.3254,-95.2922
76,Live-Oak,TX,Selma,78154,6551,29.579,-98.2778
77,Torrey-Chase,TX,Houston,77068,6828,30.0069,-95.4897
78,Brinkman,TX,Houston,77008,577,29.7991,-95.4118
79,Terrell,TX,Terrell,75160,6579,32.7515,-96.2831
80,Killeen,TX,Killeen,76543,6526,31.1172,-97.6651
81,Victoria,TX,Victoria,77904,6587,28.8675,-96.999
82,Brownsville,TX,Brownsville,78521,6521,25.9221,-97.4612
83,S-Fort-Worth,TX,Fort-Worth,76134,529,32.6469,-97.3325
84,Marble-Falls,TX,Marble-Falls,78654,514,30.5784,-98.2751
85,Mcallen,TX,Pharr,78577,506,26.1771,-98.187
86,Kyle,TX,Kyle,78640,8454,29.9966,-97.8335
87,Summerwood,TX,Houston,77044,1832,29.8635,-95.1976
88,W-Houston,TX,Houston,77082,585,29.7223,-95.6285
89,Westmoreland,TX,Dallas,75237,552,32.659,-96.8765
90,Temple,TX,Temple,76504,6863,31.0917,-97.3648
91,Westheimer,TX,Houston,77063,6558,29.7348,-95.522
92,N-Houston,TX,Houston,77037,6510,29.8892,-95.3935
93,S-Austin,TX,Sunset-Valley,78745,6570,30.2063,-97.7956
94,N-Arlington,TX,Arlington,76011,554,32.7582,-97.1003
95,Rosenberg,TX,Rosenberg,77471,6530,29.5497,-95.7982
96,E-Lubbock,TX,Lubbock,79413,6827,33.5466,-101.8871
97,Rockwall,TX,Rockwall,75087,531,32.9492,-96.4418
98,Baytown,TX,Baytown,77521,6507,29.7705,-94.9695
99,Cedar-Park,TX,Cedar-Park,78613,6585,30.5052,-97.8203
100,Howard-Lane,TX,Austin,78753,6553,30.3649,-97.6827
101,Sherman,TX,Sherman,75092,518,33.6372,-96.6184
102,Katy,TX,Katy,77449,534,29.8323,-95.736
103,Five-Point,TX,Corpus-Christi,78410,6564,27.8458,-97.596
104,Conroe,TX,Conroe,77304,508,30.3217,-95.5285
105,Se-Austin,TX,Austin,78704,6542,30.2428,-97.7658
106,N-Richland,TX,Richland-Hills,76180,540,32.84,-97.225
107,North-281,TX,San-Antonio,78258,6550,29.6562,-98.4967
108,Mesquite,TX,Mesquite,75150,6537,32.8154,-96.6307
109,Roanoke-TX,TX,Roanoke,76262,6581,33.0211,-97.2127
110,Hillcroft,TX,Houston,77085,6859,29.6218,-95.4819
111,Gulfgate-Mall,TX,Houston,77087,6509,29.6876,-95.3011
112,Spring-Valley,TX,Spring-Valley,77024,6985,29.7696,-95.5201
113,Euless,TX,Euless,76040,537,32.8264,-97.0972
114,Pearland,TX,Pearland,77581,6543,29.5617,-95.2721
