store_name,state,city,zip,store_id,lat,lon
Manchester-Road,MO,Ballwin,63011,3004,38.6091,-90.5598
Ellisville,MO,Ellisville,63011,3018,38.6091,-90.5598
West-Frederick,MD,Frederick,21702,2511,39.4926,-77.4612
I-10-Bullard,LA,New-Orleans,70128,352,30.0487,-89.9585
Crystal-River,FL,Crystal-River,34429,6332,28.8547,-82.6669
Salinas,CA,Salinas,93907,1843,36.7563,-121.6703
Truse-In-Town,TN,Memphis,38117,703,35.1124,-89.9034
Richfield,UT,Richfield,84701,4422,38.7388,-112.0744
Shreveport,LA,Shreveport,71106,356,32.3912,-93.7116
Reston,VA,Reston,20194,4641,38.9807,-77.3419
Baton-Rouge,LA,Baton-Rouge,70816,357,30.4273,-91.0356
Lansdowne,MD,Halethorpe,21227,2579,39.2309,-76.6969
Valparaiso,IN,Valparaiso,46383,2030,41.4547,-87.0656
Oak-Lawn,IL,Oak-Lawn,60453,1955,41.7143,-87.7516
Yuba-City,CA,Yuba-City,95993,1019,39.1237,-121.6611
Loveland,CO,Loveland,80537,1529,40.3849,-105.0916
S-Beaverton,OR,Beaverton,97005,4018,45.4963,-122.8001
West-Broad,OH,Columbus,43228,3819,39.9648,-83.126
W-Springfield,MA,West-Springfield,01089,2662,42.1151,-72.6411
Bowie,MD,Bowie,20716,2562,38.9263,-76.7098
Bartlett,IL,Bartlett,60103,1964,41.9794,-88.2063
Huntington-NY,NY,Huntington,11743,1272,40.8676,-73.4102
Tomball,TX,Houston,77070,6512,29.9781,-95.5803
Hanover,PA,Hanover,17331,4168,39.7943,-76.9812
Pleasanton,CA,Pleasanton,94588,629,37.6873,-121.8957
Ne-Portland,OR,Portland,97220,4004,45.5411,-122.5566
Lake-Park,FL,Lake-Park,33403,220,26.8035,-80.0756
N-Thornton,CO,Thornton,80023,1548,39.9619,-105.0148
N-Jacksonville,FL,Jacksonville,32218,6351,30.4507,-81.6626
Bensalem,PA,Bensalem,19020,4103,40.1109,-74.9378
Neshaminy,PA,Bensalem,19020,4134,40.1109,-74.9378
Olean,NY,Olean,14760,6161,42.0821,-78.426
White-Rock,TX,Dallas,75218,550,32.8463,-96.6972
Ludington,MI,Ludington,49431,2767,43.9688,-86.4403
Keller,TX,Keller,76248,6548,32.9276,-97.2489
E-Sandy,UT,Sandy,84092,4421,40.5834,-111.7467
Tulare,CA,Tulare,93274,6946,36.2022,-119.338
Sheridan,WY,Sheridan,82801,6004,44.7849,-106.9648
N-Lauderdale,FL,North-Lauderdale,33068,6312,26.215999999999998,-80.2205
Beaumont,TX,Beaumont,77703,501,30.1132,-94.1197
Seekonk,MA,Seekonk,02771,2615,41.8378,-71.3224
Laurel,MD,Laurel,20707,2571,39.1077,-76.872
San-Jose-ge,CA,San-Jose,95125,1861,37.296,-121.8939
Inverness,AL,Hoover,35242,875,33.3813,-86.7046
North-Upland,CA,Upland,91784,1083,34.141,-117.6581
Roswell-NM,NM,Roswell,88201,3510,33.6397,-104.3748
